Title,Price,Image URL,Rating,Colors,Size,Gender,Timestamp
t-shirt 2,1634400.0,https://picsum.photos/280/350?random=2,3.9,3,M,Women,2025-05-02 07:18:23.388838
hoodie 3,7950080.0,https://picsum.photos/280/350?random=3,4.8,3,L,Unisex,2025-05-02 07:18:23.388941
pants 4,7476960.0,https://picsum.photos/280/350?random=4,3.3,3,XL,Men,2025-05-02 07:18:23.389034
outerwear 5,5145440.0,https://picsum.photos/280/350?random=5,3.5,3,XXL,Women,2025-05-02 07:18:23.389117
jacket 6,2453920.0,https://picsum.photos/280/350?random=6,3.3,3,S,Unisex,2025-05-02 07:18:23.389196
crewneck 7,6892000.0,https://picsum.photos/280/350?random=7,4.3,3,M,Men,2025-05-02 07:18:23.389274
t-shirt 8,7802560.0,https://picsum.photos/280/350?random=8,3.1,3,L,Women,2025-05-02 07:18:23.389351
hoodie 9,3972160.0,https://picsum.photos/280/350?random=9,3.2,3,XL,Unisex,2025-05-02 07:18:23.389426
pants 10,3100160.0,https://picsum.photos/280/350?random=10,4.2,3,XXL,Men,2025-05-02 07:18:23.389500
jacket 12,8527840.0,https://picsum.photos/280/350?random=12,3.9,3,M,Unisex,2025-05-02 07:18:23.389649
crewneck 13,5447200.0,https://picsum.photos/280/350?random=13,3.2,3,L,Men,2025-05-02 07:18:23.389723
t-shirt 14,3248800.0,https://picsum.photos/280/350?random=14,3.8,3,XL,Women,2025-05-02 07:18:23.389798
hoodie 15,2184160.0,https://picsum.photos/280/350?random=15,3.6,3,XXL,Unisex,2025-05-02 07:18:23.389873
outerwear 17,841600.0,https://picsum.photos/280/350?random=17,3.8,3,M,Women,2025-05-02 07:18:23.390020
jacket 18,5500000.0,https://picsum.photos/280/350?random=18,3.8,3,L,Unisex,2025-05-02 07:18:23.390100
crewneck 19,1308960.0,https://picsum.photos/280/350?random=19,3.6,3,XL,Men,2025-05-02 07:18:23.390174
t-shirt 20,1325600.0,https://picsum.photos/280/350?random=20,3.4,3,XXL,Women,2025-05-02 07:18:23.390247
